biacromialbreadth,chestcircumference,weightkg,stature,t-shirt size
416,1000,744,1784,M
411,1002,732,1727,M
405,992,778,1719,M
407,993,724,1781,M
412,1051,830,1713,L
408,987,784,1749,S
399,1018,663,1619,M
416,1044,937,1822,M
440,1122,1008,1952,XL
447,1213,1042,1800,2XL
397,946,692,1708,S
425,1144,910,1749,XL
414,1097,835,1705,L
433,1114,994,1836,XL
408,942,645,1825,S
393,964,613,1653,S
424,1057,836,1725,L
472,1254,1180,1835,3XL
408,1034,859,1728,M
414,1071,778,1735,L
413,1005,749,1710,M
422,1058,880,1751,L
397,998,722,1750,S
404,1012,750,1785,M
426,1099,969,1763,L
431,1080,907,1763,L
418,1122,858,1750,L
445,1115,927,1803,XL
430,1137,910,1725,XL
407,1002,666,1598,M
455,1272,1208,1737,3XL
422,1097,804,1721,L
433,1087,951,1818,L
430,1081,880,1735,L
432,1074,819,1793,L
430,1174,972,1722,XL
438,1153,945,1850,XL
438,1133,912,1719,XL
420,1003,761,1740,M
418,1114,902,1731,L
404,1011,782,1710,M
421,1116,1018,1803,L
440,1116,847,1744,XL
427,1083,867,1803,L
429,1054,867,1897,L
433,1068,914,1768,L
405,1003,771,1652,M
411,1071,872,1772,L
415,1107,894,1788,L
383,968,607,1662,S
430,1161,1029,1899,XL
419,999,681,1700,M
414,1059,816,1773,L
420,1105,863,1718,L
428,1073,942,1744,L
426,1154,958,1761,XL
396,996,872,1710,S
389,914,649,1671,XS
425,1057,871,1758,L
432,1106,942,1804,L
419,1055,837,1731,L
427,1172,1019,1725,XL
413,1084,831,1709,L
412,1094,862,1740,L
445,1122,926,1747,XL
417,1038,808,1725,M
428,1153,972,1745,XL
428,1067,823,1736,L
393,947,659,1825,S
416,1049,878,1742,M
450,1232,1114,1747,3XL
408,947,698,1708,S
427,1089,883,1757,L
410,1010,793,1800,M
444,1174,1009,1723,2XL
448,1203,1161,1808,2XL
431,1163,1034,1761,XL
433,1163,959,1800,XL
421,1053,867,1822,L
421,1105,927,1621,L
411,997,783,1716,M
414,1103,862,1644,L
423,1098,960,1682,L
418,1031,803,1784,M
414,1067,750,1640,L
412,1033,803,1795,M
417,1111,840,1710,L
455,1208,1108,1782,2XL
402,1010,801,1745,M
424,1135,979,1803,XL
423,1177,977,1729,XL
415,1016,818,1836,M
407,1019,878,1784,M
394,957,734,1743,S
