biacromialbreadth,chestcircumference,weightkg,stature,t-shirt size
348,887,549,1562,M
366,961,692,1611,L
394,1004,713,1740,XL
370,971,699,1650,L
361,920,593,1619,M
369,902,695,1704,M
360,970,797,1689,L
360,926,677,1647,M
412,1117,882,1717,3XL
354,943,634,1531,M
374,981,765,1666,L
364,892,654,1574,M
382,975,652,1617,L
368,889,542,1670,M
377,983,814,1651,L
344,883,563,1525,S
404,1152,967,1715,3XL
353,855,502,1570,S
353,923,597,1562,M
368,897,720,1627,M
363,990,673,1608,L
352,906,784,1672,M
377,1010,630,1574,XL
380,1046,793,1670,XL
351,846,590,1617,S
370,991,699,1705,L
337,878,573,1620,S
357,876,603,1661,S
378,1062,767,1646,XL
356,932,667,1522,M
349,850,518,1505,S
363,1004,690,1613,L
354,859,646,1578,S
345,880,540,1480,S
351,825,431,1552,S
374,985,746,1559,L
391,1016,727,1674,XL
352,902,655,1597,M
370,992,702,1600,L
380,1021,931,1827,XL
350,824,532,1594,S
365,945,655,1629,L
362,975,691,1672,L
391,1013,965,1783,XL
368,923,660,1595,M
376,1009,814,1708,XL
337,782,503,1568,XS
348,885,547,1555,M
356,833,604,1631,S
348,870,616,1585,S
330,872,548,1518,S
357,838,604,1590,S
361,930,640,1599,M
342,845,669,1665,S
391,1007,791,1712,XL
364,908,598,1634,M
383,975,736,1628,L
372,996,863,1748,L
368,995,725,1635,L
365,964,764,1691,L
379,969,699,1672,L
349,914,654,1675,M
348,820,538,1508,S
333,882,577,1631,S
349,909,598,1533,M
332,786,488,1496,XS
352,897,583,1546,M
366,906,685,1685,M
364,933,648,1574,M
352,841,564,1659,S
383,936,665,1652,L
359,945,649,1593,M
367,927,680,1615,M
368,909,712,1662,M
366,939,612,1644,L
353,933,722,1652,M
365,989,672,1627,L
358,930,605,1615,M
333,877,621,1623,S
355,830,609,1595,S
339,798,470,1480,XS
376,955,786,1696,L
380,942,787,1709,L
350,844,638,1587,S
351,888,752,1691,M
383,958,782,1623,L
329,803,540,1546,XS
354,914,619,1682,M
349,848,577,1519,S
354,867,673,1631,S
359,909,608,1525,M
365,958,648,1732,L
363,910,667,1611,M
377,1057,749,1607,XL
366,909,697,1702,M
376,965,669,1657,L
372,945,831,1730,L
358,943,735,1695,M
375,948,763,1598,L
367,975,700,1644,L
348,923,626,1575,M
352,881,607,1642,S
363,986,705,1615,L
349,896,633,1607,M
345,823,564,1626,S
348,883,618,1657,S
334,869,634,1584,S
367,946,751,1758,L
355,895,582,1636,M
345,876,664,1594,S
369,962,757,1694,L
368,910,632,1606,M
358,898,616,1603,M
356,921,584,1559,M
378,951,751,1672,L
375,936,739,1708,L
361,888,645,1598,M
358,908,650,1720,M
367,956,849,1714,L
357,855,609,1590,S
355,900,654,1643,M
344,848,609,1592,S
364,902,701,1574,M
362,930,689,1617,M
357,931,736,1679,M
368,920,660,1598,M
383,1025,776,1685,XL
368,945,675,1674,L
367,890,604,1653,M
390,1112,717,1645,2XL
355,917,574,1642,M
337,824,426,1409,S
351,889,585,1620,M
367,983,740,1688,L
369,976,765,1606,L
376,1029,852,1658,XL
348,915,671,1590,M
393,1015,754,1654,XL
378,945,663,1583,L
350,843,480,1523,S
386,1096,830,1685,2XL
373,974,756,1672,L
388,1032,784,1641,XL
339,847,517,1529,S
354,897,613,1556,M
380,1015,729,1630,XL
362,924,701,1614,M
327,737,426,1464,XS
364,937,719,1631,L
390,1004,794,1704,XL
374,950,800,1620,L
357,917,625,1575,M
354,868,578,1573,S
378,980,749,1657,L
380,945,650,1538,L
338,857,633,1684,S
334,885,526,1550,S
365,994,766,1630,L
400,1202,934,1693,3XL
370,982,667,1557,L
369,922,646,1636,M
347,889,525,1547,S
312,792,490,1629,XS
364,908,772,1625,M
365,964,643,1573,L
361,972,693,1547,L
378,1003,725,1670,XL
384,1035,816,1678,XL
372,980,804,1684,L
367,933,706,1666,M
375,976,808,1718,L
386,1003,834,1626,XL
372,947,659,1670,L
361,941,712,1621,L
366,900,689,1639,M
355,874,630,1720,S
419,1214,1069,1783,3XL
362,893,639,1641,M
378,940,630,1640,L
376,1033,874,1647,XL
384,995,752,1630,XL
388,1110,821,1644,2XL
363,982,663,1603,L
355,897,638,1713,M
350,838,589,1573,S
381,996,761,1619,XL
351,882,541,1605,S
358,895,616,1601,M
383,1053,852,1703,XL
380,1036,742,1596,XL
370,964,690,1599,L
374,935,675,1632,L
361,924,652,1568,M
383,1032,826,1639,XL
357,923,556,1591,M
354,934,719,1628,M
356,901,578,1566,M
387,1023,713,1573,XL
382,976,655,1607,L
365,887,585,1614,M
362,900,589,1630,M
368,985,649,1669,L
343,884,616,1592,S
361,890,652,1610,M
376,1041,802,1751,XL
378,949,647,1688,L
331,845,548,1517,S
368,902,651,1718,M
386,1051,719,1592,XL
390,1003,726,1636,XL
366,965,604,1655,L
332,830,582,1608,S
356,844,590,1623,S
365,954,666,1543,L
361,925,670,1744,M
363,899,582,1655,M
365,900,609,1636,M
318,776,504,1594,XS
373,1005,760,1700,XL
372,953,665,1658,L
348,935,735,1688,M
339,852,563,1520,S
372,992,801,1640,L
374,970,772,1672,L
378,936,704,1662,L
352,882,590,1601,S
348,822,546,1536,S
378,957,725,1646,L
370,896,631,1648,M
334,804,537,1586,XS
358,944,607,1562,M
346,875,577,1507,S
345,881,499,1468,S
367,926,687,1636,M
361,919,632,1607,M
360,989,776,1657,L
370,944,771,1666,L
344,841,462,1498,S
346,863,591,1619,S
342,870,574,1559,S
351,824,518,1530,S
365,929,653,1572,M
377,950,661,1636,L
358,892,598,1575,M
353,852,533,1676,S
398,1071,755,1705,2XL
379,987,702,1603,L
369,956,750,1648,L
391,1002,716,1563,XL
376,966,723,1663,L
386,1030,765,1617,XL
366,914,600,1636,M
370,933,695,1628,M
348,917,637,1536,M
375,1022,815,1678,XL
370,956,773,1682,L
355,850,537,1585,S
350,912,672,1588,M
365,886,654,1607,M
347,824,669,1677,S
364,945,668,1615,L
368,907,672,1570,M
353,887,597,1563,M
359,929,658,1627,M
364,917,681,1635,M
345,854,560,1544,S
361,908,613,1493,M
356,889,586,1611,M
337,851,616,1588,S
337,811,533,1543,XS
361,935,658,1560,L
366,942,777,1690,L
376,1037,806,1678,XL
330,836,522,1608,S
376,1040,845,1683,XL
383,985,685,1586,L
349,932,646,1646,M
367,908,679,1656,M
343,820,509,1515,S
335,826,505,1502,S
371,1001,756,1633,L
364,956,634,1585,L
376,1019,804,1616,XL
368,971,762,1670,L
